ESTRATO,SEMESTRE,PROMEDIOSEMESTRE,EDAD2,PROGRAMA,GENERO,CIUDADRESIDENCIA,CIUDADNACIMIENTO,target
3.0,4,3.1,20,102383,0,76001.0,76001.0,0
2.0,8,4.1,38,102383,0,76001.0,66001.0,1
3.0,8,4.8,28,102383,0,76001.0,76001.0,1
2.0,8,4.6,29,102383,0,76001.0,76001.0,1
3.0,1,4.0,16,102383,0,76520.0,76520.0,0
3.0,8,0.4,26,102383,1,76001.0,86568.0,0
2.0,5,4.1,25,102383,1,76001.0,76001.0,0
6.0,8,3.7,23,102383,1,76001.0,11001.0,1
3.0,8,4.2,28,102383,1,52001.0,17001.0,1
1.0,8,4.5,25,102383,0,52079.0,52079.0,1
3.0,8,3.3,24,102383,0,76520.0,76520.0,1
1.0,8,4.4,36,102383,1,19001.0,19100.0,1
3.0,8,5.0,21,102383,1,8141.0,76001.0,1
3.0,8,5.0,21,102383,1,76130.0,76001.0,1
1.0,8,4.6,21,102383,0,76001.0,76001.0,1
2.0,7,3.5,24,102383,0,52786.0,52786.0,1
3.0,8,0.0,29,102383,0,76520.0,76520.0,1
2.0,8,4.5,22,102383,0,76001.0,41001.0,1
3.0,8,4.0,28,102383,1,76001.0,76001.0,1
6.0,5,1.4,22,102383,0,76001.0,76001.0,1
2.0,6,3.0,26,102383,1,52001.0,52001.0,1
4.0,8,4.6,22,102383,0,76520.0,66001.0,1
3.0,8,4.7,22,102383,1,76001.0,76834.0,1
2.0,8,4.3,27,102383,0,76520.0,76520.0,1
1.0,6,3.4,26,102383,1,86568.0,86568.0,1
3.0,2,2.2,20,102383,0,76001.0,76001.0,1
